Tag Name,Device,Address Type,Address,Comment,Data Type
LiveWeight,MODBUS RTU (Zero-based Addressing),4x,0,kg; Float32 ABCD (high-word-first),32-bit Float
TareWeight,MODBUS RTU (Zero-based Addressing),4x,2,kg,32-bit Float
NetWeight,MODBUS RTU (Zero-based Addressing),4x,4,kg,32-bit Float
TargetWeight,MODBUS RTU (Zero-based Addressing),4x,6,kg,32-bit Float
RatePerKg,MODBUS RTU (Zero-based Addressing),4x,8,PKR/kg,32-bit Float
TargetAmount,MODBUS RTU (Zero-based Addressing),4x,10,PKR,32-bit Float
CurrentAmount,MODBUS RTU (Zero-based Addressing),4x,12,PKR; net x rate,32-bit Float
FillState,MODBUS RTU (Zero-based Addressing),4x,14,0 Idle,1 Ready,2 Validating,3 Fast,4 Slow,5 Settling,6 Complete,7 Aborted,8 Fault,9 Maintenance,16-bit Unsigned
EstopOk,MODBUS RTU (Zero-based Addressing),4x,15,1=OK,16-bit Unsigned
CylinderPresent,MODBUS RTU (Zero-based Addressing),4x,16,1=present,16-bit Unsigned
NozzleEngaged,MODBUS RTU (Zero-based Addressing),4x,17,1=engaged,16-bit Unsigned
WeightStable,MODBUS RTU (Zero-based Addressing),4x,18,1=stable,16-bit Unsigned
TxnCount,MODBUS RTU (Zero-based Addressing),4x,19,total transactions,32-bit Unsigned
UptimeSec,MODBUS RTU (Zero-based Addressing),4x,21,seconds since boot,32-bit Unsigned
Legacy_Command,MODBUS RTU (Zero-based Addressing),4x,23,legacy command; prefer HMI block at 128,16-bit Unsigned
DeviceId,MODBUS RTU (Zero-based Addressing),4x,24,expected 0xA601 / decimal 42497,16-bit Unsigned
RtuSlaveAddr,MODBUS RTU (Zero-based Addressing),4x,25,1-247,16-bit Unsigned
RtuBaud,MODBUS RTU (Zero-based Addressing),4x,26,baud rate (UINT32),32-bit Unsigned
RtuParity,MODBUS RTU (Zero-based Addressing),4x,28,0=N,1=E,2=O,16-bit Unsigned
RtuStopBits,MODBUS RTU (Zero-based Addressing),4x,29,1 or 2,16-bit Unsigned
TcpPort,MODBUS RTU (Zero-based Addressing),4x,30,normally 502,16-bit Unsigned
MqttConnected,MODBUS RTU (Zero-based Addressing),4x,31,0/1,16-bit Unsigned
RtcYear,MODBUS RTU (Zero-based Addressing),4x,32,e.g. 2026,16-bit Unsigned
RtcMonth,MODBUS RTU (Zero-based Addressing),4x,33,1-12,16-bit Unsigned
RtcDay,MODBUS RTU (Zero-based Addressing),4x,34,1-31,16-bit Unsigned
RtcHour,MODBUS RTU (Zero-based Addressing),4x,35,0-23,16-bit Unsigned
RtcMinute,MODBUS RTU (Zero-based Addressing),4x,36,0-59,16-bit Unsigned
RtcSecond,MODBUS RTU (Zero-based Addressing),4x,37,0-59,16-bit Unsigned
RtcUnix,MODBUS RTU (Zero-based Addressing),4x,38,seconds since epoch (UINT32),32-bit Unsigned
StatAllCompleted,MODBUS RTU (Zero-based Addressing),4x,40,all-time completed fills,32-bit Unsigned
StatAllFailed,MODBUS RTU (Zero-based Addressing),4x,42,all-time failed fills,32-bit Unsigned
StatAllKg,MODBUS RTU (Zero-based Addressing),4x,44,all-time kg sold,32-bit Float
StatAllAmount,MODBUS RTU (Zero-based Addressing),4x,46,all-time amount PKR,32-bit Float
StatTodayCompleted,MODBUS RTU (Zero-based Addressing),4x,48,completed today,16-bit Unsigned
StatTodayFailed,MODBUS RTU (Zero-based Addressing),4x,49,failed today,16-bit Unsigned
StatTodayKg,MODBUS RTU (Zero-based Addressing),4x,50,kg today,32-bit Float
StatTodayAmount,MODBUS RTU (Zero-based Addressing),4x,52,amount today PKR,32-bit Float
StatWeekCompleted,MODBUS RTU (Zero-based Addressing),4x,54,completed this week,16-bit Unsigned
StatWeekFailed,MODBUS RTU (Zero-based Addressing),4x,55,failed this week,16-bit Unsigned
StatWeekKg,MODBUS RTU (Zero-based Addressing),4x,56,kg this week,32-bit Float
StatWeekAmount,MODBUS RTU (Zero-based Addressing),4x,58,amount this week PKR,32-bit Float
StatMonthCompleted,MODBUS RTU (Zero-based Addressing),4x,60,completed this month,16-bit Unsigned
StatMonthFailed,MODBUS RTU (Zero-based Addressing),4x,61,failed this month,16-bit Unsigned
StatMonthKg,MODBUS RTU (Zero-based Addressing),4x,62,kg this month,32-bit Float
