UAC command execution result : succeeds,Local HMI,LW_Bit,895100,,Undesignated
UAC command execution result : invalid command,Local HMI,LW_Bit,895101,,Undesignated
UAC command execution result : account exists,Local HMI,LW_Bit,895102,,Undesignated
UAC command execution result : account not exists,Local HMI,LW_Bit,895103,,Undesignated
UAC command execution result : password error,Local HMI,LW_Bit,895104,,Undesignated
UAC command execution result : deny command,Local HMI,LW_Bit,895105,,Undesignated
UAC command execution result : invalid name,Local HMI,LW_Bit,895106,,Undesignated
UAC command execution result : invalid password character exists,Local HMI,LW_Bit,895107,,Undesignated
UAC command execution result : invalid import data,Local HMI,LW_Bit,895108,,Undesignated
UAC command execution result : out of validity range,Local HMI,LW_Bit,895109,,Undesignated
UAC privilege (Class A ),Local HMI,LW_Bit,895300,,Undesignated
UAC privilege (Class B ),Local HMI,LW_Bit,895301,,Undesignated
UAC privilege (Class C ),Local HMI,LW_Bit,895302,,Undesignated
UAC privilege (Class D ),Local HMI,LW_Bit,895303,,Undesignated
UAC privilege (Class E ),Local HMI,LW_Bit,895304,,Undesignated
UAC privilege (Class F ),Local HMI,LW_Bit,895305,,Undesignated
UAC privilege (Class G ),Local HMI,LW_Bit,895306,,Undesignated
UAC privilege (Class H ),Local HMI,LW_Bit,895307,,Undesignated
UAC privilege (Class I ),Local HMI,LW_Bit,895308,,Undesignated
UAC privilege (Class J ),Local HMI,LW_Bit,895309,,Undesignated
UAC privilege (Class K ),Local HMI,LW_Bit,895310,,Undesignated
UAC privilege (Class L ),Local HMI,LW_Bit,895311,,Undesignated
UAC command,Local HMI,LW,8950,,Undesignated
UAC command execution result,Local HMI,LW,8951,,Undesignated
UAC user index,Local HMI,LW,8952,,Undesignated
UAC user privilege,Local HMI,LW,8953,,Undesignated
UAC user name,Local HMI,LW,8954,,Undesignated
UAC password,Local HMI,LW,8962,,Undesignated
Live Weight,LPG-Controller,4x_Double,0,Direct controller float. Gross/live scale weight shown on Live Filling screen.,32-bit Float
Tare Weight,LPG-Controller,4x_Double,2,Direct controller float. Captured cylinder tare shown after Capture Tare.,32-bit Float
Net Weight,LPG-Controller,4x_Double,4,Direct controller float. Main filling net weight display.,32-bit Float
Target KG,LPG-Controller,4x_Double,6,Direct controller float. Active target kg/weight after Ready/Apply Setup.,32-bit Float
Rate Per KG,LPG-Controller,4x_Double,8,Direct controller float. Active rate used by controller after setup.,32-bit Float
Target Amount,LPG-Controller,4x_Double,10,Direct controller float. Active target amount after setup.,32-bit Float
Current Amount,LPG-Controller,4x_Double,12,Direct controller float. Current calculated amount during filling.,32-bit Float
Fill State,LPG-Controller,4x,14,"Machine state word lamp: IDLE, READY, FILLING, COMPLETE, FAULT, etc.",16-bit Unsigned
EStop OK,LPG-Controller,4x,15,1=Emergency stop loop healthy; 0=E-stop/open fault.,16-bit Unsigned
Cylinder Present,LPG-Controller,4x,16,1=Cylinder detected; 0=no cylinder.,16-bit Unsigned
Nozzle Engaged,LPG-Controller,4x,17,1=Nozzle engaged; 0=nozzle not engaged.,16-bit Unsigned
Weight Stable,LPG-Controller,4x,18,1=Scale/weight stable; 0=unstable.,16-bit Unsigned
Alarm Code,LPG-Controller,4x,72,Alarm word lamp code. 0=Alarm OK; non-zero shows active alarm reason.,16-bit Unsigned
Alarm Severity,LPG-Controller,4x,73,Alarm severity/status for service or diagnostics screen.,16-bit Unsigned
Readiness Mask,LPG-Controller,4x,74,Engineering readiness bit mask. Optional diagnostic display.,16-bit Unsigned
Blocker Mask,LPG-Controller,4x,75,Engineering blocker bit mask explaining why filling cannot start.,16-bit Unsigned
